MAG	basin	sample_type	compl	contam	numb_scaffolds	genome_size	GC	sPROD	METHANO	rhodanase	phsA	dsrB	MAG_FULL_tax
AND_IN_FF2_bin.91	Anadarko Basin	input	52.39	1.6	177	1480750	53.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__UBA3064;s__UBA3064 sp016868095
AND_IN_FF3_bin.38	Anadarko Basin	input	54.48	0.43	259	2341955	65.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Thiomonas;s__Thiomonas delicata
AND_IN_HT_bin.10	Anadarko Basin	input	95.12	0.41	96	6039344	66.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa
AND_IN_HT_bin.2	Anadarko Basin	input	55.26	0	146	1821441	46	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;s__Shewanella xiamenensis
AND_IN_HT_bin.5	Anadarko Basin	input	95.08	0.6	106	5636145	64	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E soli
AND_IN_POS_bin.16	Anadarko Basin	input	74.14	0	149	4007429	64.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas stutzeri
AND_IN_POS_bin.18	Anadarko Basin	input	61.38	0.86	83	3057045	64.6	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E hydrolytica
AND_IN_POS_bin.34	Anadarko Basin	input	67.02	0	215	3704090	60.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E defluvii
AND_IN_POS_bin.52	Anadarko Basin	input	56.02	0	328	4767082	67.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Telluria;s__
AND_IN_POS_bin.8	Anadarko Basin	input	70	0	152	2855079	62.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E alloputida
AND_IN_PRE_bin.1	Anadarko Basin	input	81.97	3.96	251	4336580	67.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
AND_IN_PRE_bin.25	Anadarko Basin	input	91.97	0.88	324	5281891	68.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium austroafricanum
AND_IN_PRE_bin.38	Anadarko Basin	input	82.11	1.94	191	2189791	26.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter ellisii
AND_IN_PRE_bin.49	Anadarko Basin	input	88.11	4.15	298	4047719	65	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium sp001650725
AND_IN_PRE_bin.55	Anadarko Basin	input	91.15	4.08	134	2984322	66.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__
AND_IN_PRE_bin.82	Anadarko Basin	input	56.52	0	231	3026086	66.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__Erythrobacter sp019750455
AND_IN_SW_bin.11	Anadarko Basin	input	95.71	1.01	190	3757316	52.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__JADJPL01;s__
AND_IN_SW_bin.18	Anadarko Basin	input	58.62	1.72	341	4140611	36.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Sphaerospermopsis;s__Sphaerospermopsis sp015207205
AND-1_PF_day141_bin.10	Anadarko Basin	produced fluid	99.65	0.74	118	8235022	64.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium denitrificans
AND-1_PF_day141_bin.15	Anadarko Basin	produced fluid	88.29	2.11	98	1978527	55.5	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfovirgulaceae;g__Desulfofundulus;s__Desulfofundulus kuznetsovii
AND-1_PF_day183_bin.16	Anadarko Basin	produced fluid	76.94	1.45	428	2860342	62.6	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__DSM-9756;g__Desulfacinum;s__Desulfacinum sp014359885
AND-1_PF_day225_bin.4	Anadarko Basin	produced fluid	97.7	1.76	85	2734855	35.2	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__BICA1-8;g__;s__
AND-1_PF_day323_bin.22	Anadarko Basin	produced fluid	86.16	1.15	177	2715951	45.5	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__DRI-13;f__DRI-13;g__Thermanaerosceptrum;s__Thermanaerosceptrum sp020054815
AND-1_PF_day323_bin.34	Anadarko Basin	produced fluid	94.35	0.81	78	2531572	31.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Caloramator_A;s__Caloramator_A proteoclasticus
AND-2_PF_day105_bin.15	Anadarko Basin	produced fluid	88.68	0.2	39	1833631	61.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Hydrogenophilus;s__Hydrogenophilus thermoluteolus
AND-2_PF_day141_bin.29	Anadarko Basin	produced fluid	70.69	1.72	62	1764227	32.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium noterae
AND-2_PF_day141_bin.51	Anadarko Basin	produced fluid	98.88	1.12	63	3156143	41.4	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae;g__Melioribacter;s__Melioribacter roseus
AND-2_PF_day141_bin.58	Anadarko Basin	produced fluid	100	0.18	23	1646254	49.6	TRUE	TRUE	TRUE	FALSE	FALSE	d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermobacteraceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus
AND-2_PF_day225_bin.36	Anadarko Basin	produced fluid	83.2	0.85	181	2377282	52.6	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfallaceae;g__Desulfallas;s__Desulfallas sp015594625
AND-2_PF_day323_bin.3	Anadarko Basin	produced fluid	92.11	0	72	2112593	34.7	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferrivibrionaceae;g__Deferrivibrio;s__Deferrivibrio sp020054865
AND-2_PF_day514_bin.1	Anadarko Basin	produced fluid	93.78	0.9	142	4012544	52.8	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Shewanellaceae;g__Shewanella;s__Shewanella chilikensis
AND-2_PF_day514_bin.20	Anadarko Basin	produced fluid	77.59	0.86	60	3485601	36.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Thermotaleaceae;g__;s__
AND-3_IN_BTW_bin.1	Anadarko Basin	input	95.51	0.27	189	3873587	59.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp001465025
AND-3_IN_SW_bin.123	Anadarko Basin	input	88.88	0.56	26	2501636	62.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA5078;s__
AND-3_IN_SW_bin.13	Anadarko Basin	input	61.52	1.68	456	4099171	65.7	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__Oligoflexales;f__RGVZ01;g__;s__
AND-3_IN_SW_bin.142	Anadarko Basin	input	96.01	2.62	94	4629962	69	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__CACIAM-22H2;f__CACIAM-22H2;g__CAIOSQ01;s__CAIOSQ01 sp903860935
AND-3_IN_SW_bin.143	Anadarko Basin	input	74.36	2.14	99	1851270	58.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Casp-actino8;s__
AND-3_IN_SW_bin.145	Anadarko Basin	input	95.73	0	47	1817391	66	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__UBA3065;g__UBA3065;s__UBA3065 sp945897555
AND-3_IN_SW_bin.151	Anadarko Basin	input	84.91	1.84	97	2543945	55.5	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bdellovibrionota;c__UBA1018;o__UBA1018;f__CAIMNF01;g__CAIMNF01;s__
AND-3_IN_SW_bin.155	Anadarko Basin	input	94.17	1.45	14	2917142	63.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__UBA964 sp903885195
AND-3_IN_SW_bin.170	Anadarko Basin	input	84.44	2.14	217	2877384	69.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__
AND-3_IN_SW_bin.176	Anadarko Basin	input	90.42	1.74	152	2679237	60.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Aquisediminimonas;s__
AND-3_IN_SW_bin.180	Anadarko Basin	input	68.55	2.75	260	3490112	67.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__
AND-3_IN_SW_bin.201	Anadarko Basin	input	99.38	1.23	112	4282804	64.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__SYIM01;s__SYIM01 sp009921765
AND-3_IN_SW_bin.219	Anadarko Basin	input	98.51	1.35	67	3426056	62.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola_A;s__
AND-3_IN_SW_bin.246	Anadarko Basin	input	84.2	1.29	216	2458953	65.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SYFN01;s__SYFN01 sp023653025
AND-3_IN_SW_bin.27	Anadarko Basin	input	82.73	0.53	119	2071531	68.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Nanopelagicales;f__S36-B12;g__Mxb001;s__
AND-3_IN_SW_bin.45	Anadarko Basin	input	64.81	0.21	248	2413080	63.8	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__SYIM01;s__
AND-3_IN_SW_bin.66	Anadarko Basin	input	85.39	1.67	138	2065620	51.9	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Limnohabitans_A;s__
AND-3_IN_SW_bin.85	Anadarko Basin	input	81.36	2.81	507	5698179	66.3	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Ga0077553;s__
AND-3_IN_SW_bin.98	Anadarko Basin	input	70.33	1.72	63	1971964	59.7	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__UBA964;s__
AND-3_PF_day105_bin.24	Anadarko Basin	produced fluid	85.25	1.94	258	3782154	55.7	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__
AND-3_PF_day105_bin.25	Anadarko Basin	produced fluid	70.61	0.88	116	1155523	34.4	TRUE	FALSE	FALSE	TRUE	FALSE	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferrivibrionaceae;g__;s__
AND-3_PF_day105_bin.33	Anadarko Basin	produced fluid	98.13	0.3	72	3697461	56.3	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__
AND-3_PF_day105_bin.44	Anadarko Basin	produced fluid	87.29	0	87	1479960	52.6	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__UBA1876;s__UBA1876 sp003446665
AND-3_PF_day105_bin.47	Anadarko Basin	produced fluid	83.74	0.71	126	1877108	50	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA5559;s__
AND-3_PF_day141_bin.20	Anadarko Basin	produced fluid	99.41	0	43	3517217	63.5	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Nitratidesulfovibrio;s__Nitratidesulfovibrio vulgaris
AND-3_PF_day141_bin.21	Anadarko Basin	produced fluid	98.82	0	63	3283274	71	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Dietzia;s__Dietzia maris
AND-3_PF_day141_bin.27	Anadarko Basin	produced fluid	69.44	0	93	955181	43.1	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae_C;g__JANKMX01;s__
AND-3_PF_day141_bin.4	Anadarko Basin	produced fluid	89.73	0.3	183	3132231	63.7	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__
AND-3_PF_day141_bin.42	Anadarko Basin	produced fluid	62.12	0.45	21	2803213	68.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cereibacter;s__Cereibacter changlensis
AND-3_PF_day141_bin.51	Anadarko Basin	produced fluid	95.52	0.7	112	1892832	42.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae_C;g__Gudongella;s__Gudongella oleilytica
AND-3_PF_day141_bin.56	Anadarko Basin	produced fluid	99.46	0.78	59	4755970	60.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas sp004010935
AND-3_PF_day141_bin.57	Anadarko Basin	produced fluid	94.97	0	130	3205997	70.6	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfocurvus;s__Desulfocurvus sp023230885
AND-3_PF_day190_bin.31	Anadarko Basin	produced fluid	94.08	0	44	3033637	58.3	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__Oleidesulfovibrio alaskensis
AND-3_PF_day323_bin.20	Anadarko Basin	produced fluid	94.3	0.42	59	2355264	55	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfovirgulaceae;g__Desulfofundulus;s__Desulfofundulus australicus
AND-3_PF_day571_bin.11	Anadarko Basin	produced fluid	70.69	0	43	2283652	53	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Moorellia;o__Moorellales;f__Moorellaceae;g__Moorella;s__
AND-3_PF_day571_bin.9	Anadarko Basin	produced fluid	86.01	1.4	72	2345121	33.6	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium noterae
AND-3_PF_day80_bin.32	Anadarko Basin	produced fluid	96.43	0	19	2224542	62.9	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__UBA12183;s__UBA12183 sp003530935
AND-3_PF_day80_bin.33	Anadarko Basin	produced fluid	95.8	1.4	76	2381850	43.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Tissierellaceae_C;g__JANKMX01;s__
AND-3_PF_day80_bin.4	Anadarko Basin	produced fluid	98.22	0.66	41	3911464	57.2	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__
AND-3_PF_day80_bin.60	Anadarko Basin	produced fluid	77.49	0	45	1927304	51.3	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Desulfallaceae;g__Desulfoscipio;s__
AND-4_PF_day700_bin.11	Anadarko Basin	produced fluid	92.31	0.7	99	2449047	33.4	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__Acetoanaerobium noterae
AND-4_PF_day700_bin.15	Anadarko Basin	produced fluid	99.41	0.07	29	4041808	56.9	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__
AND-5_PF_day626_bin.1	Anadarko Basin	produced fluid	74.59	0	253	2563488	30.2	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Bacillota_A;c__Clostridia;o__;f__;g__;s__
AND-5_PF_day626_bin.20	Anadarko Basin	produced fluid	91.3	0	143	2638114	46.7	TRUE	FALSE	FALSE	FALSE	TRUE	d__Bacteria;p__Bacillota_B;c__Desulfotomaculia;o__Desulfotomaculales;f__VENG01;g__VENG01;s__
AND-5_PF_day626_bin.21	Anadarko Basin	produced fluid	95.65	2.42	143	3823875	42	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Tangfeifania;s__
AND-5_PF_day626_bin.23	Anadarko Basin	produced fluid	98.7	0	40	3488579	59.1	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__
AND-5_PF_day626_bin.24	Anadarko Basin	produced fluid	98.33	0	34	1693874	36.9	TRUE	FALSE	FALSE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium commune
AND-5_PF_day626_bin.28	Anadarko Basin	produced fluid	94.9	1.59	89	3437889	34.8	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__BICA1-8;g__;s__
AND-5_PF_day626_bin.43	Anadarko Basin	produced fluid	93.34	4.03	143	4102047	55.4	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfotignum;s__
AND-5_PF_day753_bin.10	Anadarko Basin	produced fluid	91.66	0	108	1654688	37.2	TRUE	FALSE	TRUE	TRUE	FALSE	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__UBA1877;g__UBA1877;s__UBA1877 sp002352945
AND-5_PF_day753_bin.2	Anadarko Basin	produced fluid	98.82	0.1	54	3284730	59.5	TRUE	FALSE	TRUE	TRUE	TRUE	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio oxyclinae
BOW-1_PF_day0_10p_bin.10	Bowland Shale	produced fluid	95.88	1.77	125	3379004	64	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__
BOW-1_PF_day0_10p_bin.6	Bowland Shale	produced fluid	56.14	1.75	241	2406121	59	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sp001465025
BOW-1_PF_day0_bin.1	Bowland Shale	produced fluid	88.33	0.97	146	2659404	67.3	TRUE	FALSE	TRUE	FALSE	FALSE	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp002441055
